0.0,17.6,26.6,25.8,4.9,15.2,12.4,26.0,20.7,16.6,16.2,20.3,30.1,15.0,44.4,22.9,34.6,23.5,15.4,30.1,24.8,35.7,22.6,19.2,14.1,22.4,21.0,7.0,25.4,8.2,11.0,32.0,23.2,20.8
16.9,0.0,32.6,22.1,20.4,16.8,6.8,20.4,15.1,22.6,21.8,26.3,30.8,19.3,43.8,17.2,28.3,22.9,21.4,24.6,26.6,36.4,16.9,25.3,19.1,27.4,15.4,11.5,30.0,19.2,16.2,38.1,27.2,26.8
23.3,29.2,0.0,24.8,20.6,16.5,23.7,27.5,26.7,10.6,14.5,12.2,15.9,15.3,33.2,24.1,29.5,21.4,14.1,25.0,12.4,21.4,23.6,17.8,15.4,22.1,25.2,25.4,9.8,29.5,17.3,22.6,15.3,7.1
26.8,22.4,25.1,0.0,27.5,15.2,18.4,7.0,16.0,23.8,26.4,28.6,15.3,23.2,24.4,7.5,13.6,6.3,28.8,9.0,17.9,20.9,11.9,32.4,26.9,35.2,7.6,22.4,20.7,31.4,24.0,40.1,23.0,25.6
2.7,19.2,25.3,26.1,0.0,15.5,14.1,26.4,21.0,15.3,16.4,19.0,30.4,15.2,44.7,23.2,34.9,23.8,14.1,30.4,25.1,36.0,22.9,18.0,13.2,21.6,21.3,8.7,24.1,10.5,11.3,30.8,23.4,19.5
15.1,16.6,19.5,13.8,15.9,0.0,11.1,18.7,11.6,15.8,15.3,20.9,17.6,11.2,32.4,12.4,22.7,11.5,18.4,18.1,12.0,23.2,11.8,21.5,15.3,23.6,13.4,13.1,15.3,20.0,12.3,32.7,15.0,17.6
12.1,7.3,27.8,19.0,15.6,12.0,0.0,17.3,12.0,17.7,17.0,21.5,26.0,14.5,39.9,14.1,25.2,19.0,16.6,21.5,21.8,31.6,13.8,20.4,14.2,22.6,12.3,7.1,25.2,15.9,11.4,33.2,22.3,21.9
25.5,21.1,28.9,6.4,26.1,19.2,17.0,0.0,15.5,29.2,27.2,32.4,19.1,24.6,28.1,8.9,13.0,11.7,26.7,7.9,22.9,24.7,12.2,30.6,24.4,32.8,6.9,21.1,24.5,29.5,21.5,43.8,28.4,31.0
18.7,14.3,30.1,16.4,19.3,13.1,10.3,14.5,0.0,21.1,20.4,24.9,23.8,17.9,35.6,11.3,22.4,14.8,20.0,18.7,22.0,29.4,7.7,23.8,17.6,26.0,9.5,14.3,25.9,22.7,14.8,36.6,26.0,25.3
16.1,22.0,14.0,24.2,13.4,15.8,16.4,29.9,22.8,0.0,9.8,7.7,18.9,10.2,36.3,23.4,33.0,22.0,6.8,28.4,13.9,24.5,23.0,9.2,8.1,12.2,24.6,18.1,12.8,22.3,10.1,19.5,12.0,8.2
