16.5,15.8,7.5,9.6,24.2,9.3,13.3,10.6,11.8,13.0,12.6,11.4,4.1,9.5,8.9,9.2,12.7,7.5,16.6,10.2,0.0,4.7,10.8,16.5,19.3,19.2,12.8,14.2,4.4,18.6,20.8,18.0,8.5,10.6
15.4,16.1,11.2,8.1,16.3,8.7,13.6,9.0,12.2,16.8,14.7,15.2,2.3,11.6,7.4,9.5,11.2,5.9,20.4,8.7,7.4,0.0,11.1,20.3,23.1,23.0,13.1,14.5,8.1,17.8,15.5,21.8,10.6,13.0
14.7,9.2,15.1,5.6,16.4,6.6,8.1,9.1,3.9,15.4,18.7,18.6,9.9,15.3,11.3,2.7,17.3,6.1,19.9,11.8,10.4,10.5,0.0,21.6,19.0,27.6,5.4,10.9,12.4,16.8,15.0,26.9,11.4,14.1
12.2,17.8,12.4,20.5,10.8,14.6,15.3,28.6,20.4,4.1,5.3,9.7,21.2,7.0,26.0,25.5,29.8,18.5,3.2,27.4,14.8,21.8,22.9,0.0,2.9,5.9,24.9,14.8,16.5,15.3,7.3,18.0,7.7,9.5
10.1,15.6,11.8,18.8,8.4,12.3,13.0,26.4,18.2,6.0,4.5,9.1,20.6,7.5,25.4,23.2,34.5,17.6,2.7,22.2,14.2,21.3,20.7,3.1,0.0,9.8,22.7,12.6,15.9,13.1,3.8,17.4,8.2,8.9
18.4,23.9,13.7,21.9,16.8,20.7,21.4,34.7,26.5,6.5,14.1,7.5,22.6,18.2,27.4,31.6,29.2,19.9,8.1,25.2,16.1,23.2,29.0,6.4,10.2,0.0,31.0,20.9,17.8,21.4,13.4,12.4,12.4,10.9
16.7,11.3,17.3,3.6,18.5,9.0,10.2,3.4,6.0,17.6,20.8,20.8,12.2,17.4,10.5,2.5,12.2,5.7,22.0,6.7,12.5,12.8,3.6,23.7,21.1,29.7,0.0,12.9,14.5,18.9,17.1,29.1,13.5,16.3
3.2,5.4,22.2,12.1,5.2,6.3,3.1,17.7,9.5,16.4,11.8,19.5,13.3,8.4,16.0,14.6,25.9,10.9,13.0,20.4,12.9,13.9,12.0,14.7,12.1,20.7,14.0,0.0,14.0,5.3,8.1,27.8,10.4,19.3
23.1,17.1,3.5,12.0,21.7,8.4,14.6,15.0,13.5,10.6,8.8,8.9,8.5,8.7,13.4,11.3,17.2,11.9,14.2,14.7,4.4,9.2,12.4,14.0,16.8,16.7,14.5,14.5,0.0,17.8,18.3,15.5,5.5,5.2
3.5,8.0,22.6,15.8,6.4,9.4,7.7,22.3,14.0,16.8,10.3,19.9,16.6,9.8,19.8,19.1,30.4,14.6,13.5,19.2,15.9,17.2,16.6,15.1,12.5,21.1,18.6,4.8,16.9,0.0,8.2,28.2,12.9,19.8
5.5,11.1,15.1,13.2,4.5,6.5,8.5,21.9,13.7,9.3,3.9,12.4,23.9,3.7,17.1,18.7,30.0,12.0,6.0,16.6,11.0,24.5,16.2,7.6,5.0,13.6,18.2,8.1,19.1,8.6,0.0,20.7,7.5,12.2
25.4,31.1,14.1,26.6,24.1,22.3,28.6,27.6,33.7,12.9,18.1,8.3,21.1,19.2,25.9,26.6,29.7,24.5,16.5,27.3,20.0,21.7,27.2,16.4,19.2,12.3,38.2,28.1,16.4,28.6,20.6,0.0,17.9,11.5
11.8,15.2,7.8,11.5,17.0,6.5,12.7,14.4,12.6,5.8,5.9,9.0,9.9,2.9,14.7,10.9,18.9,9.6,9.4,14.9,5.8,10.5,11.5,9.5,12.1,12.0,13.5,12.6,5.5,14.8,9.1,17.3,0.0,5.0
17.5,23.1,3.9,14.1,16.1,9.1,20.6,16.9,15.1,4.9,5.8,4.4,13.8,6.9,18.6,13.4,21.4,12.1,8.5,17.5,7.7,14.4,14.0,8.4,11.2,11.1,16.1,20.1,5.5,20.6,12.7,11.5,5.1,0.0
